"deviceCount","publisher","displayName","platform","version","sizeInByte","id"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsNotepad","windows","11.2501.31.0","0","7f4361957b1b9f6fea93f7491e4c134cd26a2c1df7130f912d1bb761f9476cba"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsStore","windows","22506.1400.0.0","0","b1220dfacff510e8b3890ff9b4f02dc30476efc114800cd53f1634595ff0ebd1"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsStore","windows","22512.1401.6.0","0","d3d35f0eb806065f515ee6434c072cb7ab9da14be0452ac9b48973f141a1fa6e"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsTerminal","windows","3001.18.10301.0","0","74b8363b6157b1c7e84cd090a56c8aa16e5c6911eb4c8a5636d8d44e9fa35ca5"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.WindowsTerminal","windows","3001.23.20211.0","0","a34611935d4a72e7d07ad0ed97e07cae27289be13008d6ceb4fae608bb8274f1"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.YourPhone","windows","1.26011.42.0","0","1cc754509796edf87d32c7b1a438e5c3302dd8f5e0f6d1315f42603f0a1f4e7e"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.YourPhone","windows","1.25062.84.0","0","f873061ae2d3671fa4afc1300ed24240baa0fcbc70f37f4a7ef922e34632bbfe"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.ZuneMusic","windows","11.2512.10.0","0","0d55319400317456397e6b11763ff08cd2fab433c929dc416905cb18a7a73136"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft.ZuneMusic","windows","11.2505.2.0","0","ea79d07e7e3746254b4566cab6d19d72cb424b635120c2d27b4af31cb2812d26"
"1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","MicrosoftWindows.Client.WebExperience","windows","526.1202.40.0","0","d493e8ca2e302549dfc046479f399f46614938bbe05de9a17e2b79b6263cbca1"
"1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","MicrosoftWindows.Client.WebExperience","windows","525.18101.90.9","0","fa6b42cbf7c39e12b954ef4324695f2845466eefe65161d1ff5340fbc330c269"
"1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","MicrosoftWindows.CrossDevice","windows","1.25062.28.0","0","0155fb6acc794eca6274093ed94ae0f738fd2725f8ccf17cb9b8826ea0b4df4c"
"1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","MicrosoftWindows.CrossDevice","windows","1.26011.30.0","0","f2242a58a12b5161564a9d0641144924c1db1c0087e10d08544506fa48114ca6"
"1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","aimgr","windows","0.20.41.0","0","a14976ee1685ec2e916282667d70f9d567c7ddcc13b0a36ad8eb910ed3952bbe"
